ebird_code,date,duration,filename,species,number_of_notes,secondary_labels,latitude,sampling_rate,type,elevation,bitrate_of_mp3,background,country,primary_label,longitude,time
ameavo,2014-06-06,31,XC185513.mp3,American Avocet,1-3,"['Xanthocephalus xanthocephalus_Yellow-headed Blackbird', 'Cistothorus palustris_Marsh Wren', ""Phalaropus tricolor_Wilson's Phalarope"", 'Himantopus mexicanus_Black-necked Stilt']",48.4183,44100 (Hz),call,600 m,128000 (bps),Yellow-headed Blackbird (Xanthocephalus xanthocephalus); Marsh Wren (Cistothorus palustris); Wilson's Phalarope (Phalaropus tricolor); Black-necked Stilt (Himantopus mexicanus),United States,Recurvirostra americana_American Avocet,-107.6657,06:43
ameavo,2015-04-05,9,XC234550.mp3,American Avocet,Not specified,['Charadrius vociferus_Killdeer'],35.737,44100 (Hz),broken wing display,120 m,128000 (bps),Killdeer (Charadrius vociferus),United States,Recurvirostra americana_American Avocet,-119.1783,10:35
ameavo,2015-05-24,59,XC304674.mp3,American Avocet,Not specified,"['Charadrius vociferus_Killdeer', 'Fulica americana_American Coot', 'Xanthocephalus xanthocephalus_Yellow-headed Blackbird', 'Agelaius phoeniceus_Red-winged Blackbird']",38.4716,48000 (Hz),call,550 m,128000 (bps),Killdeer (Charadrius vociferus); American Coot (Fulica americana); Yellow-headed Blackbird (Xanthocephalus xanthocephalus); Red-winged Blackbird (Agelaius phoeniceus),United States,Recurvirostra americana_American Avocet,-98.6727,13:41
ameavo,2015-05-24,25,XC304679.mp3,American Avocet,Not specified,"['Xanthocephalus xanthocephalus_Yellow-headed Blackbird', 'Fulica americana_American Coot']",38.4716,48000 (Hz),call,550 m,128000 (bps),Yellow-headed Blackbird (Xanthocephalus xanthocephalus); American Coot (Fulica americana),United States,Recurvirostra americana_American Avocet,-98.6727,13:42
ameavo,2016-05-21,17,XC317972.mp3,American Avocet,Not specified,[],32.2311,48000 (Hz),call,1300 m,128087 (bps),,United States,Recurvirostra americana_American Avocet,-109.8252,12:00
ameavo,2015-04-27,7,XC324509.mp3,American Avocet,Not specified,[],33.2016,48000 (Hz),call,-70 m,128000 (bps),,United States,Recurvirostra americana_American Avocet,-115.597,15:19
ameavo,2015-04-27,10,XC324558.mp3,American Avocet,Not specified,[],33.2016,48000 (Hz),call,-70 m,128000 (bps),,United States,Recurvirostra americana_American Avocet,-115.597,15:18
ameavo,2015-04-27,24,XC324577.mp3,American Avocet,Not specified,['Hydroprogne caspia_Caspian Tern'],33.1813,48000 (Hz),flight call,-70 m,128000 (bps),Caspian Tern (Hydroprogne caspia),United States,Recurvirostra americana_American Avocet,-115.6227,14:05
amebit,2013-05-09,38,XC133167.mp3,American Bittern,Not specified,[],42.343,44100 (Hz),flight call,420 m,64000 (bps),,United States,Botaurus lentiginosus_American Bittern,-76.3,00:00
amebit,2014-06-04,146,XC184876.mp3,American Bittern,7-20,"['Melospiza melodia_Song Sparrow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Tyrannus tyrannus_Eastern Kingbird', 'Spatula discors_Blue-winged Teal', 'Porzana carolina_Sora', ""Gallinago delicata_Wilson's Snipe"", 'Hirundo rustica_Barn Swallow', 'Anas platyrhynchos_Mallard']",40.6409,44100 (Hz),song,1500 m,128000 (bps),Song Sparrow (Melospiza melodia); Red-winged Blackbird (Agelaius phoeniceus); Eastern Kingbird (Tyrannus tyrannus); Blue-winged Teal (Spatula discors); Sora (Porzana carolina); Wilson's Snipe (Gallinago delicata); Barn Swallow (Hirundo rustica); Mallard (Anas platyrhynchos),United States,Botaurus lentiginosus_American Bittern,-104.3397,04:54
amebit,2014-06-04,164,XC184881.mp3,American Bittern,7-20,"['Melospiza melodia_Song Sparrow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Porzana carolina_Sora', ""Gallinago delicata_Wilson's Snipe"", 'Quiscalus mexicanus_Great-tailed Grackle', 'Hirundo rustica_Barn Swallow', 'Tyrannus tyrannus_Eastern Kingbird', 'Fulica americana_American Coot', 'Quiscalus quiscula_Common Grackle', 'Sturnella neglecta_Western Meadowlark']",40.6409,44100 (Hz),song,1500 m,128000 (bps),Song Sparrow (Melospiza melodia); Red-winged Blackbird (Agelaius phoeniceus); Sora (Porzana carolina); Wilson's Snipe (Gallinago delicata); Great-tailed Grackle (Quiscalus mexicanus); Barn Swallow (Hirundo rustica); Eastern Kingbird (Tyrannus tyrannus); American Coot (Fulica americana); Common Grackle (Quiscalus quiscula); Western Meadowlark (Sturnella neglecta),United States,Botaurus lentiginosus_American Bittern,-104.3397,05:01
amebit,2013-06-02,20,XC212025.mp3,American Bittern,Not specified,[],32.5545,44100 (Hz),song,10 m,128000 (bps),,United States,Botaurus lentiginosus_American Bittern,-117.065,19:30
amebit,2015-07-04,288,XC256110.mp3,American Bittern,Not specified,"['Agelaius phoeniceus_Red-winged Blackbird', 'Cistothorus palustris_Marsh Wren', 'Podilymbus podiceps_Pied-billed Grebe', 'Quiscalus quiscula_Common Grackle']",46.154,44100 (Hz),song,10 m,128000 (bps),Red-winged Blackbird (Agelaius phoeniceus); Marsh Wren (Cistothorus palustris); Pied-billed Grebe (Podilymbus podiceps); Common Grackle (Quiscalus quiscula),Canada,Botaurus lentiginosus_American Bittern,-72.7455,06:10
amebit,2016-10-14,12,XC338164.mp3,American Bittern,Not specified,['Corvus brachyrhynchos_American Crow'],28.229,48000 (Hz),flight call,0 m,128000 (bps),American Crow (Corvus brachyrhynchos),United States,Botaurus lentiginosus_American Bittern,-80.813,07:32
amebit,2017-05-10,141,XC370240.mp3,American Bittern,Not specified,"['Phasianus colchicus_Ring-necked Pheasant', 'Geothlypis trichas_Common Yellowthroat', 'Nycticorax nycticorax_Black-crowned Night-Heron', 'Sturnella magna_Eastern Meadowlark']",38.4716,48000 (Hz),song,550 m,128000 (bps),Common Pheasant (Phasianus colchicus); Common Yellowthroat (Geothlypis trichas); Black-crowned Night Heron (Nycticorax nycticorax); Eastern Meadowlark (Sturnella magna),United States,Botaurus lentiginosus_American Bittern,-98.6727,20:19
amebit,2018-05-06,9,XC417864.mp3,American Bittern,1-3,[],39.919,48000 (Hz),song,280 m,320000 (bps),,United States,Botaurus lentiginosus_American Bittern,-83.2065,08:55
amebit,2018-05-26,111,XC451067.mp3,American Bittern,Not specified,[],44.0554,44100 (Hz),song,280 m,192000 (bps),,United States,Botaurus lentiginosus_American Bittern,-90.1715,19:30
amecro,2012-09-09,16,XC109768.mp3,American Crow,Not specified,[],46.9034,48000 (Hz),call,0 m,192000 (bps),,United States,Corvus brachyrhynchos_American Crow,-124.1301,10:00
amecro,2009-03-24,6,XC114558.mp3,American Crow,1-3,[],37.6917,44100 (Hz),call,10 m,128000 (bps),,United States,Corvus brachyrhynchos_American Crow,-121.1868,09:00
amecro,2012-12-07,20,XC172878.mp3,American Crow,Not specified,[],32.6809,48000 (Hz),flight call,240 m,128000 (bps),,United States,Corvus brachyrhynchos_American Crow,-116.8189,08:26
amecro,2014-05-22,20,XC197259.mp3,American Crow,Not specified,[],25.1741,44100 (Hz),call,0 m,128000 (bps),,United States,Corvus brachyrhynchos_American Crow,-80.9347,07:20
amecro,2016-12-05,24,XC345874.mp3,American Crow,Not specified,[],28.229,48000 (Hz),"call, flight call, wing noise",0 m,128000 (bps),,United States,Corvus brachyrhynchos_American Crow,-80.813,08:23
amecro,2017-11-03,111,XC393299.mp3,American Crow,Not specified,"['Antigone canadensis_Sandhill Crane', 'Charadrius vociferus_Killdeer', 'Sturnella neglecta_Western Meadowlark', 'Tringa melanoleuca_Greater Yellowlegs']",33.839,48000 (Hz),call,1400 m,320000 (bps),Sandhill Crane (Antigone canadensis); Killdeer (Charadrius vociferus); Western Meadowlark (Sturnella neglecta); Greater Yellowlegs (Tringa melanoleuca),United States,Corvus brachyrhynchos_American Crow,-106.883,6:50
amecro,2019-05-21,26,XC481136.mp3,American Crow,Not specified,[],36.4728,44100 (Hz),"call, song",480 m,192000 (bps),,United States,Corvus brachyrhynchos_American Crow,-121.1873,09:00
amecro,2019-09-02,31,XC496354.mp3,American Crow,Not specified,[],35.388,48000 (Hz),"Caw, call",10 m,320000 (bps),,United States,Corvus brachyrhynchos_American Crow,-120.8603,10:45
amecro,2010-04-05,162,XC51410.mp3,American Crow,4-6,[],35.8589,44100 (Hz),call,300 m,128000 (bps),,United States,Corvus brachyrhynchos_American Crow,-84.0948,11:00am
amegfi,2013-05-05,88,XC139798.mp3,American Goldfinch,Not specified,[],41.1267,48000 (Hz),"male, song",1800 m,128000 (bps),,United States,Spinus tristis_American Goldfinch,-104.697,10:30
amegfi,2014-05-03,8,XC179092.mp3,American Goldfinch,Not specified,"['Agelaius phoeniceus_Red-winged Blackbird', 'Melospiza melodia_Song Sparrow']",42.4713,44100 (Hz),flight call,320 m,128000 (bps),Red-winged Blackbird (Agelaius phoeniceus); Song Sparrow (Melospiza melodia),United States,Spinus tristis_American Goldfinch,-76.4527,10:00
amegfi,2014-10-22,14,XC205514.mp3,American Goldfinch,Not specified,[],46.7161,48000 (Hz),flight call,190 m,128000 (bps),,United States,Spinus tristis_American Goldfinch,-92.0346,09:02
amegfi,2016-04-15,14,XC313681.mp3,American Goldfinch,Not specified,['Melanerpes carolinus_Red-bellied Woodpecker'],42.7721,44100 (Hz),song,280 m,192000 (bps),Red-bellied Woodpecker (Melanerpes carolinus),United States,Spinus tristis_American Goldfinch,-83.2011,10:00
amegfi,2016-07-11,27,XC327670.mp3,American Goldfinch,Not specified,[],37.8929,44100 (Hz),song,280 m,192000 (bps),,United States,Spinus tristis_American Goldfinch,-84.3923,11:00
amegfi,2017-03-27,18,XC368590.mp3,American Goldfinch,4-6,[],40.0439,48000 (Hz),call,1600 m,320000 (bps),,United States,Spinus tristis_American Goldfinch,-105.1856,12:38
amegfi,2017-07-26,18,XC382506.mp3,American Goldfinch,Not specified,[],40.5772,48000 (Hz),"male, song",1600 m,192000 (bps),,United States,Spinus tristis_American Goldfinch,-105.1506,13:00
amegfi,2017-09-03,41,XC385206.mp3,American Goldfinch,1-3,"['Bombycilla cedrorum_Cedar Waxwing', 'Agelaius phoeniceus_Red-winged Blackbird', 'Spinus psaltria_Lesser Goldfinch', 'Geothlypis trichas_Common Yellowthroat', 'Pica hudsonia_Black-billed Magpie']",40.4979,44100 (Hz),call,2000 m,128080 (bps),Cedar Waxwing (Bombycilla cedrorum); Red-winged Blackbird (Agelaius phoeniceus); Lesser Goldfinch (Spinus psaltria); Common Yellowthroat (Geothlypis trichas); Black-billed Magpie (Pica hudsonia),United States,Spinus tristis_American Goldfinch,-107.1883,19:12
amegfi,2017-09-04,26,XC388255.mp3,American Goldfinch,Not specified,[],48.635,48000 (Hz),call,1100 m,320293 (bps),,United States,Spinus tristis_American Goldfinch,-112.3305,18:42
amekes,2009-04-18,17,XC216657.mp3,American Kestrel,Not specified,"['Sturnella neglecta_Western Meadowlark', 'Haemorhous mexicanus_House Finch', 'Gymnorhinus cyanocephalus_Pinyon Jay', 'Catherpes mexicanus_Canyon Wren']",39.1203,44100 (Hz),call,1400 m,128000 (bps),Western Meadowlark (Sturnella neglecta); House Finch (Haemorhous mexicanus); Pinyon Jay (Gymnorhinus cyanocephalus); Canyon Wren (Catherpes mexicanus),United States,Falco sparverius_American Kestrel,-108.7318,07:30
amekes,2015-06-25,85,XC254588.mp3,American Kestrel,Not specified,[],43.671,48000 (Hz),call,1400 m,179549 (bps),,United States,Falco sparverius_American Kestrel,-103.4506,10:30
amekes,2017-02-03,126,XC362208.mp3,American Kestrel,Not specified,"['Mimus polyglottos_Northern Mockingbird', 'Sayornis nigricans_Black Phoebe']",32.969,48000 (Hz),call,-50 m,128000 (bps),Northern Mockingbird (Mimus polyglottos); Black Phoebe (Sayornis nigricans); Audubon's Warbler (Setophaga auduboni),United States,Falco sparverius_American Kestrel,-115.5534,16:46
amekes,2018-05-30,32,XC420473.mp3,American Kestrel,Not specified,[],39.5696,48000 (Hz),"begging call, call, juvenile",1400 m,192000 (bps),,United States,Falco sparverius_American Kestrel,-119.6918,09:30
amekes,2015-06-28,3,XC421160.mp3,American Kestrel,Not specified,[],-23.7976,44100 (Hz),call,600 m,192000 (bps),,Brazil,Falco sparverius_American Kestrel,-48.5928,07:00
amekes,2018-07-01,33,XC426297.mp3,American Kestrel,Not specified,['Mimus polyglottos_Northern Mockingbird'],42.696,48000 (Hz),"begging call, juvenile",8 m,192000 (bps),Northern Mockingbird (Mimus polyglottos),United States,Falco sparverius_American Kestrel,-70.8226,10:00
amekes,2019-02-21,8,XC466166.mp3,American Kestrel,7-20,['Melanerpes formicivorus_Acorn Woodpecker'],23.6503,44100 (Hz),call,800 m,128000 (bps),Acorn Woodpecker (Melanerpes formicivorus),Mexico,Falco sparverius_American Kestrel,-109.9234,14:07
amekes,2005-02-18,7,XC51476.mp3,American Kestrel,Not specified,[],Not specified,44100 (Hz),call,? m,128000 (bps),,Uruguay,Falco sparverius_American Kestrel,Not specified,?:?
amekes,2010-08-18,12,XC61168.mp3,American Kestrel,Not specified,[],Not specified,44100 (Hz),Call,80 m,128000 (bps),,Argentina,Falco sparverius_American Kestrel,Not specified,am
amepip,2014-10-24,8,XC210758.mp3,Buff-bellied Pipit,Not specified,[],46.7161,48000 (Hz),flight call,190 m,128000 (bps),,United States,Anthus rubescens_American Pipit,-92.0346,09:53
amepip,2015-05-31,49,XC277600.mp3,Buff-bellied Pipit,Not specified,[],44.9977,48000 (Hz),"call, flight call, flight display",3200 m,128000 (bps),,United States,Anthus rubescens_American Pipit,-109.4212,10:24
amepip,2015-05-31,24,XC277601.mp3,Buff-bellied Pipit,Not specified,[],44.9977,48000 (Hz),flight display,3200 m,128000 (bps),,United States,Anthus rubescens_American Pipit,-109.4212,10:19
amepip,2015-10-16,66,XC287461.mp3,Buff-bellied Pipit,Not specified,[],40.5426,44100 (Hz),flight call,1500 m,192000 (bps),,United States,Anthus rubescens_American Pipit,-104.9648,08:45
amepip,2015-05-16,27,XC291092.mp3,Buff-bellied Pipit,Not specified,[],48.6238,44100 (Hz),"call, flight call",0 m,128000 (bps),,Canada,Anthus rubescens_American Pipit,-69.0888,14:54
amepip,2016-05-28,13,XC325263.mp3,Buff-bellied Pipit,Not specified,[],51.7942,44100 (Hz),"call, flight call",750 m,192000 (bps),,Canada,Anthus rubescens_American Pipit,-117.3863,10:30
amepip,2017-06-07,5,XC406160.mp3,Buff-bellied Pipit,Not specified,[],64.5035,48000 (Hz),call,0 m,320000 (bps),,United States,Anthus rubescens_American Pipit,-165.4053,11:01
amepip,2018-11-11,1,XC442047.mp3,Buff-bellied Pipit,Not specified,['Carpodacus sibiricus_Long-tailed Rosefinch'],35.1535,48000 (Hz),call,90 m,323855 (bps),Long-tailed Rosefinch (Carpodacus sibiricus),Japan,Anthus rubescens_American Pipit,136.1056,08:00
amepip,2018-11-14,37,XC448720.mp3,Buff-bellied Pipit,Not specified,['Haemorhous mexicanus_House Finch'],32.7802,48000 (Hz),call,0 m,128000 (bps),House Finch (Haemorhous mexicanus),United States,Anthus rubescens_American Pipit,-117.2154,14:51
amered,2013-03-11,21,XC125512.mp3,American Redstart,1-3,[],17.006,44100 (Hz),call,320 m,128000 (bps),,Guatemala,Setophaga ruticilla_American Redstart,-89.721,15:00
amered,2014-06-23,194,XC193769.mp3,American Redstart,4-6,"['Turdus migratorius_American Robin', 'Corvus brachyrhynchos_American Crow', 'Corvus corax_Common Raven', 'Melospiza melodia_Song Sparrow', 'Selasphorus rufus_Rufous Hummingbird']",55.937,44100 (Hz),song,20 m,128000 (bps),American Robin (Turdus migratorius); American Crow (Corvus brachyrhynchos); Northern Raven (Corvus corax); Song Sparrow (Melospiza melodia); Rufous Hummingbird (Selasphorus rufus),Canada,Setophaga ruticilla_American Redstart,-130.0003,09:14
amered,2014-12-03,52,XC205267.mp3,American Redstart,1-3,['Quiscalus mexicanus_Great-tailed Grackle'],14.9165,44100 (Hz),call,700 m,128000 (bps),Great-tailed Grackle (Quiscalus mexicanus),Honduras,Setophaga ruticilla_American Redstart,-88.9906,14:00
amered,2015-07-04,66,XC293615.mp3,American Redstart,Not specified,[],45.0394,44100 (Hz),"male, song",50 m,128000 (bps),,Canada,Setophaga ruticilla_American Redstart,-74.4613,16:34
amered,2016-07-03,29,XC325810.mp3,American Redstart,Not specified,[],42.7895,44100 (Hz),song,280 m,192000 (bps),,United States,Setophaga ruticilla_American Redstart,-83.1904,09:00
amered,2016-06-01,62,XC325943.mp3,American Redstart,Not specified,[],50.9619,44100 (Hz),song,440 m,192000 (bps),,Canada,Setophaga ruticilla_American Redstart,-118.1997,10:30
amered,2019-05-22,57,XC476107.mp3,American Redstart,Not specified,"['Branta canadensis_Canada Goose', 'Sayornis phoebe_Eastern Phoebe']",40.5874,48000 (Hz),song,0 m,178724 (bps),Canada Goose (Branta canadensis); Eastern Phoebe (Sayornis phoebe),United States,Setophaga ruticilla_American Redstart,-74.2621,07:00
amered,2018-06-24,19,XC483145.mp3,American Redstart,Not specified,[],46.8268,48000 (Hz),alarm call,280 m,192000 (bps),,United States,Setophaga ruticilla_American Redstart,-96.7836,14:00
amered,2019-09-24,30,XC499322.mp3,American Redstart,1-3,[],25.6036,44100 (Hz),"alarm call, call, flight call",40 m,320000 (bps),,Mexico,Setophaga ruticilla_American Redstart,-109.0521,07:00
amerob,2006-05-25,20,XC139086.mp3,American Robin,Not specified,[],40.0038,44100 (Hz),"""hawk"" alarm",0 m,128000 (bps),,United States,Turdus migratorius_American Robin,-75.045,09:00
amerob,2011-05-16,68,XC165292.mp3,American Robin,Not specified,[],44.5648,48000 (Hz),song,360 m,128000 (bps),,United States,Turdus migratorius_American Robin,-84.2583,05:54
amerob,2014-06-09,193,XC187409.mp3,American Robin,7-20,[],51.2418,44100 (Hz),song,1400 m,128000 (bps),Audubon's Warbler (Setophaga auduboni),Canada,Turdus migratorius_American Robin,-115.84,21:59
amerob,2015-06-12,13,XC385843.mp3,American Robin,Not specified,[],42.7335,44100 (Hz),call,240 m,192000 (bps),,United States,Turdus migratorius_American Robin,-83.0753,09:00
amerob,2017-06-02,12,XC396272.mp3,American Robin,Not specified,[],40.7457,44100 (Hz),"alarm call, male",20 m,90714 (bps),,United States,Turdus migratorius_American Robin,-74.0235,07:00
amerob,2017-04-21,83,XC446457.mp3,American Robin,Not specified,[],38.9776,48000 (Hz),song,380 m,128000 (bps),,United States,Turdus migratorius_American Robin,-121.1501,05:49
amerob,2019-04-02,41,XC464766.mp3,American Robin,Not specified,[],35.9705,44100 (Hz),call,260 m,91845 (bps),,United States,Turdus migratorius_American Robin,-87.1389,19:00
amerob,2019-03-21,56,XC465001.mp3,American Robin,Not specified,[],49.2544,44100 (Hz),song,80 m,320000 (bps),,Canada,Turdus migratorius_American Robin,-123.1995,05:30
amerob,2019-06-27,38,XC483578.mp3,American Robin,Not specified,[],31.9237,48000 (Hz),song,0 m,112860 (bps),,United States,Turdus migratorius_American Robin,-81.0559,07:30
amewig,2013-10-20,153,XC152396.mp3,American Wigeon,1-3,"['Fulica americana_American Coot', 'Cistothorus palustris_Marsh Wren', 'Porzana carolina_Sora']",35.0307,44100 (Hz),call,0 m,320000 (bps),American Coot (Fulica americana); Marsh Wren (Cistothorus palustris); Sora (Porzana carolina),United States,Mareca americana_American Wigeon,-120.6205,9:30
amewig,2013-06-02,18,XC152873.mp3,American Wigeon,1-3,"['Passerculus sandwichensis_Savannah Sparrow', 'Spizella passerina_Chipping Sparrow', 'Turdus migratorius_American Robin', 'Zonotrichia albicollis_White-throated Sparrow', 'Agelaius phoeniceus_Red-winged Blackbird']",56.7264,44100 (Hz),call,260 m,128000 (bps),Savannah Sparrow (Passerculus sandwichensis); Chipping Sparrow (Spizella passerina); American Robin (Turdus migratorius); White-throated Sparrow (Zonotrichia albicollis); American Yellow Warbler (Setophaga aestiva); Red-winged Blackbird (Agelaius phoeniceus),Canada,Mareca americana_American Wigeon,-111.3803,05:00
amewig,2013-06-21,10,XC153020.mp3,American Wigeon,7-20,"['Porzana carolina_Sora', ""Melospiza lincolnii_Lincoln's Sparrow"", 'Spizella passerina_Chipping Sparrow', 'Leiothlypis peregrina_Tennessee Warbler', 'Spizella pallida_Clay-colored Sparrow', 'Vireo olivaceus_Red-eyed Vireo']",56.7264,44100 (Hz),call,260 m,128000 (bps),Sora (Porzana carolina); Lincoln's Sparrow (Melospiza lincolnii); Chipping Sparrow (Spizella passerina); Tennessee Warbler (Leiothlypis peregrina); Clay-colored Sparrow (Spizella pallida); Red-eyed Vireo (Vireo olivaceus),Canada,Mareca americana_American Wigeon,-111.3803,04:00
amewig,2012-02-09,36,XC172886.mp3,American Wigeon,Not specified,"['Antigone canadensis_Sandhill Crane', 'Charadrius vociferus_Killdeer']",32.233,48000 (Hz),call,1300 m,128000 (bps),Sandhill Crane (Antigone canadensis); Killdeer (Charadrius vociferus),United States,Mareca americana_American Wigeon,-109.8269,11:27
amewig,2012-03-03,25,XC172888.mp3,American Wigeon,Not specified,['Haemorhous mexicanus_House Finch'],32.564,48000 (Hz),call,0 m,128000 (bps),House Finch (Haemorhous mexicanus),United States,Mareca americana_American Wigeon,-117.1256,10:15
amewig,2016-02-27,2,XC305019.mp3,American Wigeon,Not specified,[],34.7912,48000 (Hz),"call, male",50 m,128000 (bps),,Japan,Mareca americana_American Wigeon,135.4983,13:30
amewig,2016-02-27,1,XC305020.mp3,American Wigeon,Not specified,[],34.7912,48000 (Hz),"call, male",50 m,128000 (bps),,Japan,Mareca americana_American Wigeon,135.4983,13:30
amewig,2016-02-27,2,XC305022.mp3,American Wigeon,Not specified,[],34.7912,48000 (Hz),"call, male",50 m,128000 (bps),,Japan,Mareca americana_American Wigeon,135.4983,13:00
amewig,2016-06-10,60,XC335125.mp3,American Wigeon,Not specified,[],48.6617,44100 (Hz),call,1200 m,320139 (bps),,United States,Mareca americana_American Wigeon,-112.4239,12:51
amewoo,2014-11-10,7,XC202087.mp3,American Woodcock,Not specified,[],40.6157,22050 (Hz),wing sound,170 m,128000 (bps),,United States,Scolopax minor_American Woodcock,-74.9817,06:00
amewoo,2015-04-28,36,XC237821.mp3,American Woodcock,Not specified,[],44.3211,44100 (Hz),song,220 m,128000 (bps),,Canada,Scolopax minor_American Woodcock,-78.3264,10:00
amewoo,2015-03-13,8,XC243587.mp3,American Woodcock,Not specified,[],36.0942,48000 (Hz),flight call,160 m,128000 (bps),,United States,Scolopax minor_American Woodcock,-87.0058,07:00
amewoo,2016-03-23,105,XC308295.mp3,American Woodcock,Not specified,[],43.7209,44100 (Hz),"call, male, song",40 m,256000 (bps),,Canada,Scolopax minor_American Woodcock,-65.7539,20:20
amewoo,2008-04-10,66,XC31012.mp3,American Woodcock,1-3,"['Turdus migratorius_American Robin', 'Spizella pusilla_Field Sparrow', 'Melospiza melodia_Song Sparrow']",42.1059,48000 (Hz),"Song, including hiccup and 'peent'",200 m,128000 (bps),American Robin (Turdus migratorius); Field Sparrow (Spizella pusilla); Song Sparrow (Melospiza melodia),United States,Scolopax minor_American Woodcock,-83.3164,06:30
amewoo,2016-05-01,6,XC388693.mp3,American Woodcock,Not specified,[],46.6008,44100 (Hz),flight call,220 m,192000 (bps),,United States,Scolopax minor_American Woodcock,-85.2239,06:00
amewoo,2017-02-12,21,XC461242.mp3,American Woodcock,Not specified,['Branta canadensis_Canada Goose'],38.889,44100 (Hz),"flight call, male, song",320 m,107194 (bps),Canada Goose (Branta canadensis),United States,Scolopax minor_American Woodcock,-94.3357,18:30
amewoo,2019-01-28,112,XC471244.mp3,American Woodcock,1-3,[],34.9961,48000 (Hz),call,300 m,192000 (bps),,United States,Scolopax minor_American Woodcock,-82.4037,06:30
amewoo,2019-05-04,2,XC473284.mp3,American Woodcock,Not specified,[],41.949,44100 (Hz),flight call,180 m,93678 (bps),,Canada,Scolopax minor_American Woodcock,-82.5193,05:04
amtspa,2013-12-08,125,XC157759.mp3,American Tree Sparrow,Not specified,[],40.1175,44100 (Hz),flock calls,40 m,128000 (bps),,United States,Spizelloides arborea_American Tree Sparrow,-75.0627,09:40
