,ebird_code,date,duration,filename,species,number_of_notes,secondary_labels,latitude,sampling_rate,type,elevation,bitrate_of_mp3,background,country,primary_label,longitude,time
236,bkcchi,2015-02-13,57,XC289009.mp3,Black-capped Chickadee,Not specified,"[""Thryomanes bewickii_Bewick's Wren"", ""Cyanocitta stelleri_Steller's Jay"", 'Turdus migratorius_American Robin', 'Colaptes auratus_Northern Flicker']",47.6551,22050 (Hz),call,10 m,128000 (bps),Bewick's Wren (Thryomanes bewickii); Steller's Jay (Cyanocitta stelleri); American Robin (Turdus migratorius); Northern Flicker (Colaptes auratus),United States,Poecile atricapillus_Black-capped Chickadee,-122.112,11:05
271,bktspa,2013-03-21,178,XC147288.mp3,Black-throated Sparrow,Not specified,[],33.2253,48000 (Hz),song,140 m,128000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-116.3085,07:38
276,bktspa,2017-05-10,78,XC370949.mp3,Black-throated Sparrow,7-20,[],25.7581,44100 (Hz),song,260 m,128000 (bps),,Mexico,Amphispiza bilineata_Black-throated Sparrow,-98.7098,08:00
278,bktspa,1999-04-24,71,XC469883.mp3,Black-throated Sparrow,Not specified,[],34.0014,44100 (Hz),song,480 m,192000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-116.5586,13:25
314,bnhcow,2011-06-18,5,XC81290.mp3,Brown-headed Cowbird,1-3,[],44.793,44100 (Hz),call,220 m,190126 (bps),,United States,Molothrus ater_Brown-headed Cowbird,-92.962,05:52
335,brdowl,2015-04-05,84,XC234524.mp3,Barred Owl,Not specified,"['Poecile carolinensis_Carolina Chickadee', 'Thryothorus ludovicianus_Carolina Wren', 'Polioptila caerulea_Blue-gray Gnatcatcher', 'Baeolophus bicolor_Tufted Titmouse', 'Cardinalis cardinalis_Northern Cardinal', 'Vireo griseus_White-eyed Vireo', 'Regulus calendula_Ruby-crowned Kinglet', 'Zonotrichia albicollis_White-throated Sparrow']",32.6724,44100 (Hz),"call, duet.",60 m,320000 (bps),Carolina Chickadee (Poecile carolinensis); Carolina Wren (Thryothorus ludovicianus); Blue-grey Gnatcatcher (Polioptila caerulea); Tufted Titmouse (Baeolophus bicolor); Northern Cardinal (Cardinalis cardinalis); White-eyed Vireo (Vireo griseus); Ruby-crowned Kinglet (Regulus calendula); White-throated Sparrow (Zonotrichia albicollis),United States,Strix varia_Barred Owl,-93.9534,07:02
357,brespa,2014-05-23,153,XC205474.mp3,Brewer's Sparrow,Not specified,[],38.2849,48000 (Hz),song,1900 m,128000 (bps),,United States,Spizella breweri_Brewer's Sparrow,-108.7245,10:05
382,brthum,2013-04-19,18,XC132890.mp3,Broad-tailed Hummingbird,1-3,"['Zenaida macroura_Mourning Dove', 'Zenaida asiatica_White-winged Dove']",31.906,44100 (Hz),"display, wing whine",1400 m,128000 (bps),Mourning Dove (Zenaida macroura); White-winged Dove (Zenaida asiatica),United States,Selasphorus platycercus_Broad-tailed Hummingbird,-109.1543,16:56
409,btnwar,2010-05-11,14,XC213558.mp3,Black-throated Green Warbler,Not specified,[],31.1679,44100 (Hz),song,260 m,128000 (bps),,United States,Setophaga virens_Black-throated Green Warbler,-97.646,08:30
414,btywar,2013-05-13,137,XC133590.mp3,Black-throated Grey Warbler,7-20,[],49.2895,44100 (Hz),song,40 m,128000 (bps),,Canada,Setophaga nigrescens_Black-throated Gray Warbler,-122.7951,18:49
419,btywar,2017-04-17,34,XC365063.mp3,Black-throated Grey Warbler,Not specified,[],48.493,48000 (Hz),song,220 m,320000 (bps),,Canada,Setophaga nigrescens_Black-throated Gray Warbler,-123.346,09:45
430,buffle,2017-06-25,4,XC388269.mp3,Bufflehead,Not specified,[],48.3736,48000 (Hz),"call, female",1600 m,321893 (bps),,United States,Bucephala albeola_Bufflehead,-113.2859,14:20
481,buwwar,2016-06-23,48,XC324243.mp3,Blue-winged Warbler,Not specified,[],44.3179,44100 (Hz),song,340 m,192000 (bps),,United States,Vermivora cyanoptera_Blue-winged Warbler,-84.8268,10:30
529,cangoo,2018-03-24,19,XC407057.mp3,Canada Goose,Not specified,[],45.3868,44100 (Hz),call,80 m,126278 (bps),,Canada,Branta canadensis_Canada Goose,-75.7439,06:30
587,cedwax,2013-06-04,32,XC253514.mp3,Cedar Waxwing,Not specified,[],45.4652,48000 (Hz),call,160 m,128000 (bps),,United States,Bombycilla cedrorum_Cedar Waxwing,-123.9709,10:14
592,cedwax,2018-06-17,10,XC421284.mp3,Cedar Waxwing,Not specified,[],42.2771,48000 (Hz),call,600 m,192000 (bps),,United States,Bombycilla cedrorum_Cedar Waxwing,-76.664,07:30
605,chiswi,2015-06-08,54,XC278004.mp3,Chimney Swift,Not specified,"['Setophaga dominica_Yellow-throated Warbler', 'Protonotaria citrea_Prothonotary Warbler', 'Aix sponsa_Wood Duck', 'Polioptila caerulea_Blue-gray Gnatcatcher']",37.3619,48000 (Hz),flight call,120 m,128000 (bps),Yellow-throated Warbler (Setophaga dominica); Prothonotary Warbler (Protonotaria citrea); Wood Duck (Aix sponsa); Blue-grey Gnatcatcher (Polioptila caerulea),United States,Chaetura pelagica_Chimney Swift,-88.927,16:30
618,chswar,2017-06-07,111,XC375011.mp3,Chestnut-sided Warbler,Not specified,"['Icterus galbula_Baltimore Oriole', 'Haemorhous purpureus_Purple Finch']",45.0529,44100 (Hz),"male, song",280 m,128000 (bps),Baltimore Oriole (Icterus galbula); Purple Finch (Haemorhous purpureus),United States,Setophaga pensylvanica_Chestnut-sided Warbler,-84.9593,09:30
622,chukar,2009-02-16,3,XC133064.mp3,Chukar Partridge,Not specified,[],30.6748,48000 (Hz),song,1200 m,128000 (bps),,Jordan,Alectoris chukar_Chukar,35.6083,17:30
632,clanut,2015-04-24,79,XC237728.mp3,Clark's Nutcracker,Not specified,"[""Sphyrapicus thyroideus_Williamson's Sapsucker"", 'Sitta pygmaea_Pygmy Nuthatch', ""Haemorhous cassinii_Cassin's Finch""]",34.3558,44100 (Hz),"begging call, call, juvenile",2600 m,128000 (bps),Williamson's Sapsucker (Sphyrapicus thyroideus); Pygmy Nuthatch (Sitta pygmaea); Cassin's Finch (Haemorhous cassinii),United States,Nucifraga columbiana_Clark's Nutcracker,-117.8036,13:08
656,comgol,2018-05-28,10,XC432038.mp3,Common Goldeneye,Not specified,[],63.1648,44100 (Hz),"male, song",100 m,192000 (bps),,Russian Federation,Bucephala clangula_Common Goldeneye,75.4388,02:30
677,commer,2014-03-27,11,XC171422.mp3,Common Merganser,Not specified,[],40.3722,44100 (Hz),"call, female, male",90 m,128000 (bps),,United States,Mergus merganser_Common Merganser,-75.508,06:30
679,commer,2016-06-05,21,XC322206.mp3,Common Merganser,Not specified,[],59.5347,44100 (Hz),"alarm call, female",10 m,192000 (bps),,Sweden,Mergus merganser_Common Merganser,16.8445,05:40
741,coshum,2014-08-25,78,XC196870.mp3,Costa's Hummingbird,Not specified,"['Campylorhynchus brunneicapillus_Cactus Wren', 'Melanerpes uropygialis_Gila Woodpecker', 'Haemorhous mexicanus_House Finch', 'Progne subis_Purple Martin', 'Cardinalis sinuatus_Pyrrhuloxia', 'Zenaida macroura_Mourning Dove', 'Phainopepla nitens_Phainopepla', 'Toxostoma curvirostre_Curve-billed Thrasher']",32.1999,44100 (Hz),"call, song",900 m,128000 (bps),Cactus Wren (Campylorhynchus brunneicapillus); Gila Woodpecker (Melanerpes uropygialis); House Finch (Haemorhous mexicanus); Purple Martin (Progne subis); Pyrrhuloxia (Cardinalis sinuatus); Mourning Dove (Zenaida macroura); Phainopepla (Phainopepla nitens); Curve-billed Thrasher (Toxostoma curvirostre),United States,Calypte costae_Costa's Hummingbird,-110.7666,06:00
762,daejun,2017-06-25,85,XC394524.mp3,Dark-eyed Junco,Not specified,[],47.3197,44100 (Hz),song,650 m,128000 (bps),,Canada,Junco hyemalis_Dark-eyed Junco,-71.1461,08:28
782,dowwoo,2016-05-12,3,XC390588.mp3,Downy Woodpecker,Not specified,[],42.7865,44100 (Hz),call,300 m,192000 (bps),,United States,Dryobates pubescens_Downy Woodpecker,-83.1459,09:00
794,eargre,2014-04-27,4,XC182453.mp3,Black-necked Grebe,Not specified,[],50.1263,48000 (Hz),call,260 m,257480 (bps),,Kazakhstan,Podiceps nigricollis_Eared Grebe,59.0844,20:30
819,easmea,2013-11-19,83,XC163993.mp3,Eastern Meadowlark,Not specified,[],28.229,48000 (Hz),song,0 m,128000 (bps),,United States,Sturnella magna_Eastern Meadowlark,-80.813,10:03
852,eawpew,2015-07-04,14,XC295793.mp3,Eastern Wood Pewee,Not specified,[],45.0204,44100 (Hz),"call, song",60 m,128000 (bps),,Canada,Contopus virens_Eastern Wood-Pewee,-74.3871,18:33
921,gcrfin,2014-12-24,169,XC344695.mp3,Grey-crowned Rosy Finch,Not specified,['Eremophila alpestris_Horned Lark'],48.784,44100 (Hz),"call, flight call",1200 m,320049 (bps),Horned Lark (Eremophila alpestris),United States,Leucosticte tephrocotis_Gray-crowned Rosy-Finch,-112.0507,08:45
959,gocspa,2018-05-25,22,XC420219.mp3,Golden-crowned Sparrow,Not specified,['Passerella iliaca_Fox Sparrow'],64.5784,44100 (Hz),song,10 m,89133 (bps),Red Fox Sparrow (Passerella iliaca),United States,Zonotrichia atricapilla_Golden-crowned Sparrow,-164.4188,14:00
1009,greyel,2013-06-07,50,XC207798.mp3,Greater Yellowlegs,Not specified,[],63.7867,44100 (Hz),call,223 m,128000 (bps),,United States,Tringa melanoleuca_Greater Yellowlegs,-151.6166,05:52
1036,grtgra,2013-03-09,13,XC125898.mp3,Great-tailed Grackle,7-20,[],14.7399,44100 (Hz),song,1600 m,128000 (bps),Velasquez's Woodpecker (Melanerpes santacruzi),Guatemala,Quiscalus mexicanus_Great-tailed Grackle,-91.1951,10:30
1052,grycat,2019-02-09,13,XC474551.mp3,Grey Catbird,Not specified,[],20.3491,44100 (Hz),call,20 m,91229 (bps),,Mexico,Dumetella carolinensis_Gray Catbird,-87.5636,17:15
1062,haiwoo,2012-03-24,4,XC164261.mp3,Hairy Woodpecker,Not specified,[],48.3247,44100 (Hz),rattle call,50 m,128000 (bps),,Canada,Dryobates villosus_Hairy Woodpecker,-123.6396,08:30
1071,hamfly,2012-04-29,35,XC156521.mp3,Hammond's Flycatcher,Not specified,[],48.4589,44100 (Hz),call,60 m,128000 (bps),,Canada,Empidonax hammondii_Hammond's Flycatcher,-123.3474,07:00
1089,herthr,2013-05-01,19,XC132814.mp3,Hermit Thrush,1-3,[],34.465,48000 (Hz),call,1700 m,128000 (bps),,United States,Catharus guttatus_Hermit Thrush,-112.4762,19:30
1121,horgre,2009-05-18,26,XC340747.mp3,Horned Grebe,Not specified,[],61.8026,44100 (Hz),song,110 m,128000 (bps),,Finland,Podiceps auritus_Horned Grebe,26.0474,07:00
1154,houwre,2011-07-06,53,XC195463.mp3,House Wren,7-20,[],-1.7103,44100 (Hz),song,20 m,64000 (bps),,Ecuador,Troglodytes aedon_House Wren,-79.3876,09:00
1163,indbun,1999-04-25,33,XC124889.mp3,Indigo Bunting,Not specified,['Thryothorus ludovicianus_Carolina Wren'],36.1667,44100 (Hz),song,150 m,128000 (bps),Carolina Wren (Thryothorus ludovicianus),United States,Passerina cyanea_Indigo Bunting,-86.7833,?
1170,juntit1,2013-04-20,72,XC149435.mp3,Juniper Titmouse,Not specified,[],33.9175,48000 (Hz),"call, song",1800 m,128000 (bps),,United States,Baeolophus ridgwayi_Juniper Titmouse,-111.4141,09:42
1187,killde,2010-07-28,26,XC59951.mp3,Killdeer,1-3,"['Calidris minutilla_Least Sandpiper', 'Corvus brachyrhynchos_American Crow', 'Aix sponsa_Wood Duck']",35.5587,44100 (Hz),call,100 m,128000 (bps),Least Sandpiper (Calidris minutilla); American Crow (Corvus brachyrhynchos); Wood Duck (Aix sponsa),United States,Charadrius vociferus_Killdeer,-84.1326,7:45am
1346,macwar,2017-06-21,40,XC379004.mp3,MacGillivray's Warbler,Not specified,[],51.7942,44100 (Hz),"male, song",750 m,128000 (bps),,Canada,Geothlypis tolmiei_MacGillivray's Warbler,-117.3863,18:30
1366,mallar3,2019-09-02,834,XC495823.mp3,Mallard,Not specified,[],56.084,44100 (Hz),autumn call,160 m,192000 (bps),,Russian Federation,Anas platyrhynchos_Mallard,47.2571,22:30
1374,marwre,2019-04-28,120,XC479773.mp3,Marsh Wren,Not specified,[],51.3142,44100 (Hz),song,1100 m,320000 (bps),,Canada,Cistothorus palustris_Marsh Wren,-121.8012,15:00
1381,merlin,2017-04-28,90,XC371870.mp3,Merlin,Not specified,[],46.6562,48000 (Hz),call,1100 m,320085 (bps),,United States,Falco columbarius_Merlin,-112.0365,17:27
1401,mouchi,2017-01-02,6,XC349089.mp3,Mountain Chickadee,Not specified,[],40.1935,48000 (Hz),call,2600 m,320000 (bps),,United States,Poecile gambeli_Mountain Chickadee,-105.5238,09:47
1414,norcar,2014-04-19,24,XC177125.mp3,Northern Cardinal,Not specified,['Cardinalis cardinalis_Northern Cardinal'],31.9237,44100 (Hz),alarm call,5 m,128000 (bps),Northern Cardinal (Cardinalis cardinalis),United States,Cardinalis cardinalis_Northern Cardinal,-81.0559,16:30
1484,norwat,2008-01-27,6,XC65999.mp3,Northern Waterthrush,Not specified,"['Opisthocomus hoazin_Hoatzin', 'Eurypyga helias_Sunbittern']",8.9498,44100 (Hz),call,70 m,128000 (bps),Hoatzin (Opisthocomus hoazin); Sunbittern (Eurypyga helias),Venezuela,Parkesia noveboracensis_Northern Waterthrush,-68.0831,08:00
1507,olsfly,2016-06-12,2,XC325126.mp3,Olive-sided Flycatcher,1-3,"['Turdus migratorius_American Robin', 'Piranga ludoviciana_Western Tanager']",37.0433,48000 (Hz),song,3100 m,320000 (bps),American Robin (Turdus migratorius); Western Tanager (Piranga ludoviciana),United States,Contopus cooperi_Olive-sided Flycatcher,-106.4516,06:19
1517,orcwar,2017-03-19,18,XC360346.mp3,Orange-crowned Warbler,Not specified,[],38.5116,48000 (Hz),call,150 m,128083 (bps),,United States,Leiothlypis celata_Orange-crowned Warbler,-122.1088,09:00
1561,pecsan,2017-06-11,70,XC406466.mp3,Pectoral Sandpiper,Not specified,[],71.2973,48000 (Hz),song,0 m,320000 (bps),,United States,Calidris melanotos_Pectoral Sandpiper,-156.7737,19:57
1577,phaino,2015-01-04,49,XC209318.mp3,Phainopepla,Not specified,[],34.2218,44100 (Hz),"call, male",1100 m,128000 (bps),,United States,Phainopepla nitens_Phainopepla,-117.6659,12:41
1607,pingro,2016-11-05,20,XC341610.mp3,Pine Grosbeak,Not specified,"['Cygnus cygnus_Whooper Swan', 'Cyanistes caeruleus_Eurasian Blue Tit']",60.134,44100 (Hz),flight call,15 m,255878 (bps),Whooper Swan (Cygnus cygnus); Eurasian Blue Tit (Cyanistes caeruleus),Finland,Pinicola enucleator_Pine Grosbeak,25.0301,10:30
1622,pinsis,2014-04-20,72,XC175352.mp3,Pine Siskin,Not specified,['Coccothraustes vespertinus_Evening Grosbeak'],47.0655,44100 (Hz),"call, song",380 m,128000 (bps),Evening Grosbeak (Hesperiphona vespertina),Canada,Spinus pinus_Pine Siskin,-71.4145,12:12
1642,plsvir,2015-06-11,86,XC323425.mp3,Plumbeous Vireo,1-3,"['Troglodytes aedon_House Wren', 'Sitta carolinensis_White-breasted Nuthatch', 'Catharus guttatus_Hermit Thrush', 'Contopus sordidulus_Western Wood-Pewee', 'Vireo plumbeus_Plumbeous Vireo', ""Vireo huttoni_Hutton's Vireo""]",31.872,44100 (Hz),song,1600 m,128000 (bps),House Wren (Troglodytes aedon); White-breasted Nuthatch (Sitta carolinensis); Hermit Thrush (Catharus guttatus); Western Wood Pewee (Contopus sordidulus); Plumbeous Vireo (Vireo plumbeus); Hutton's Vireo (Vireo huttoni),United States,Vireo plumbeus_Plumbeous Vireo,-109.235,05:14
1653,prawar,2016-05-18,186,XC317241.mp3,Prairie Warbler,Not specified,[],42.1176,44100 (Hz),song,260 m,320000 (bps),,United States,Setophaga discolor_Prairie Warbler,-88.3021,06:17
1690,rebnut,2018-01-04,29,XC398285.mp3,Red-breasted Nuthatch,Not specified,['Spinus psaltria_Lesser Goldfinch'],32.2516,44100 (Hz),call,750 m,128000 (bps),Lesser Goldfinch (Spinus psaltria); Audubon's Warbler (Setophaga auduboni),United States,Sitta canadensis_Red-breasted Nuthatch,-110.8672,12:25
1696,rebsap,2014-07-01,84,XC184692.mp3,Red-breasted Sapsucker,1-3,[],48.585,44100 (Hz),"alarm call, begging call",190 m,53385 (bps),,Canada,Sphyrapicus ruber_Red-breasted Sapsucker,-123.6142,09:30
1719,redhea,2007-02-26,41,XC11496.mp3,Redhead,1-3,[],42.3473,44100 (Hz),call,175 m,102854 (bps),,United States,Aythya americana_Redhead,-82.9753,?
1720,redhea,2007-02-26,15,XC11497.mp3,Redhead,1-3,[],42.3473,44100 (Hz),Call,175 m,110643 (bps),,United States,Aythya americana_Redhead,-82.9753,?
1726,redhea,2018-02-17,125,XC403006.mp3,Redhead,Not specified,"['Mareca americana_American Wigeon', 'Branta canadensis_Canada Goose', 'Agelaius phoeniceus_Red-winged Blackbird']",40.5032,48000 (Hz),call,1500 m,192000 (bps),American Wigeon (Mareca americana); Canada Goose (Branta canadensis); Red-winged Blackbird (Agelaius phoeniceus),United States,Aythya americana_Redhead,-105.0629,17:30
1732,reevir1,2017-05-27,40,XC375275.mp3,Red-eyed Vireo,Not specified,[],42.019,48000 (Hz),song,200 m,128000 (bps),,United States,Vireo olivaceus_Red-eyed Vireo,-72.1109,10:30
1748,reshaw,2011-06-13,167,XC149538.mp3,Red-shouldered Hawk,Not specified,[],32.8321,48000 (Hz),flight call,80 m,128000 (bps),,United States,Buteo lineatus_Red-shouldered Hawk,-117.0493,06:11
1765,rewbla,2014-06-13,63,XC191985.mp3,Red-winged Blackbird,Not specified,[],51.7563,44100 (Hz),"call, song",550 m,128000 (bps),,Canada,Agelaius phoeniceus_Red-winged Blackbird,-103.3055,09:14
1773,ribgul,2013-07-09,2,XC142756.mp3,Ring-billed Gull,Not specified,[],40.8708,44100 (Hz),"""Kaa""-, flight call",10 m,192000 (bps),,United States,Larus delawarensis_Ring-billed Gull,-73.5398,05:30
1778,ribgul,2017-05-05,6,XC368796.mp3,Ring-billed Gull,Not specified,['Limnodromus griseus_Short-billed Dowitcher'],39.198,44100 (Hz),long call,0 m,128000 (bps),Short-billed Dowitcher (Limnodromus griseus),United States,Larus delawarensis_Ring-billed Gull,-75.014,04:30
1782,rinduc,2013-07-14,33,XC143031.mp3,Ring-necked Duck,7-20,['Agelaius phoeniceus_Red-winged Blackbird'],47.7312,48000 (Hz),"alarm call, female",260 m,128000 (bps),Red-winged Blackbird (Agelaius phoeniceus),Canada,Aythya collaris_Ring-necked Duck,-70.4221,07:22
1789,rinduc,2018-01-04,3,XC398306.mp3,Ring-necked Duck,Not specified,[],32.1232,44100 (Hz),alarm call,750 m,320000 (bps),,United States,Aythya collaris_Ring-necked Duck,-110.9976,13:00
1881,sagthr,2012-05-15,104,XC112650.mp3,Sage Thrasher,Not specified,"[""Spizella breweri_Brewer's Sparrow"", 'Sturnella neglecta_Western Meadowlark', 'Pooecetes gramineus_Vesper Sparrow']",40.6374,44100 (Hz),"alarm call, call",1900 m,160000 (bps),Brewer's Sparrow (Spizella breweri); Western Meadowlark (Sturnella neglecta); Vesper Sparrow (Pooecetes gramineus),United States,Oreoscoptes montanus_Sage Thrasher,-108.1535,10:00
1892,savspa,2015-05-16,206,XC291078.mp3,Savannah Sparrow,Not specified,[],48.3483,44100 (Hz),song,0 m,128000 (bps),,Canada,Passerculus sandwichensis_Savannah Sparrow,-69.389,09:20
1910,scatan,2015-05-23,31,XC246340.mp3,Scarlet Tanager,Not specified,"['Setophaga pinus_Pine Warbler', 'Passerina cyanea_Indigo Bunting', 'Setophaga citrina_Hooded Warbler', 'Spizella passerina_Chipping Sparrow', 'Cyanocitta cristata_Blue Jay']",42.6937,44100 (Hz),song,220 m,128000 (bps),Pine Warbler (Setophaga pinus); Indigo Bunting (Passerina cyanea); Hooded Warbler (Setophaga citrina); Chipping Sparrow (Spizella passerina); Blue Jay (Cyanocitta cristata),Canada,Piranga olivacea_Scarlet Tanager,-80.4806,09:00
1916,scatan,2009-06-07,33,XC54419.mp3,Scarlet Tanager,7-20,['Empidonax virescens_Acadian Flycatcher'],35.6309,44100 (Hz),song,500 m,128000 (bps),Acadian Flycatcher (Empidonax virescens),United States,Piranga olivacea_Scarlet Tanager,-83.7356,10:00am
1927,semplo,2013-09-15,28,XC149623.mp3,Semipalmated Plover,Not specified,[],28.6812,48000 (Hz),call,0 m,128000 (bps),,United States,Charadrius semipalmatus_Semipalmated Plover,-80.6943,07:37
1985,solsan,2017-10-12,44,XC389442.mp3,Solitary Sandpiper,Not specified,"['Thraupis palmarum_Palm Tanager', 'Euphonia chlorotica_Purple-throated Euphonia']",-9.9491,44100 (Hz),call,160 m,91232 (bps),Palm Tanager (Thraupis palmarum); Purple-throated Euphonia (Euphonia chlorotica),Brazil,Tringa solitaria_Solitary Sandpiper,-67.8809,09:16
2043,swaspa,2013-06-04,4,XC137655.mp3,Swamp Sparrow,Not specified,[],54.4657,48000 (Hz),song,550 m,128000 (bps),,Canada,Melospiza georgiana_Swamp Sparrow,-110.1198,04:17
2072,truswa,2016-01-08,2,XC298754.mp3,Trumpeter Swan,Not specified,[],42.6251,44100 (Hz),call,280 m,192000 (bps),,United States,Cygnus buccinator_Trumpeter Swan,-83.3203,14:00
2095,tunswa,2019-02-21,13,XC457590.mp3,Tundra Swan,Not specified,[],52.0612,48000 (Hz),flight call,10 m,177300 (bps),,Netherlands,Cygnus columbianus_Tundra Swan,5.371,01:00
2106,vesspa,2012-06-01,103,XC102960.mp3,Vesper Sparrow,7-20,"['Spinus tristis_American Goldfinch', 'Toxostoma rufum_Brown Thrasher']",44.793,44100 (Hz),song,220 m,128000 (bps),American Goldfinch (Spinus tristis); Brown Thrasher (Toxostoma rufum),United States,Pooecetes gramineus_Vesper Sparrow,-92.962,06:00
2186,westan,2019-07-21,67,XC489341.mp3,Western Tanager,Not specified,[],49.2544,48000 (Hz),song,650 m,320000 (bps),,Canada,Piranga ludoviciana_Western Tanager,-121.6144,05:30
2202,whbnut,2000-07-09,22,XC350769.mp3,White-breasted Nuthatch,1-3,[],34.2766,44100 (Hz),call,1700 m,128000 (bps),,United States,Sitta carolinensis_White-breasted Nuthatch,-116.7468,07:40
2215,whfibi,2015-06-21,5,XC253346.mp3,White-faced Ibis,7-20,[],19.2405,44100 (Hz),call,2600 m,128000 (bps),,Mexico,Plegadis chihi_White-faced Ibis,-99.4966,08:30
2233,whtswi,2009-06-28,18,XC140265.mp3,White-throated Swift,Not specified,[],38.87,44100 (Hz),call,2100 m,128000 (bps),,United States,Aeronautes saxatalis_White-throated Swift,-104.9187,07:30
2235,whtswi,2013-04-14,24,XC185238.mp3,White-throated Swift,Not specified,"[""Chaetura vauxi_Vaux's Swift"", 'Turdus infuscatus_Black Thrush']",14.0285,48000 (Hz),flight call,1800 m,128000 (bps),Vaux's Swift (Chaetura vauxi); Black Thrush (Turdus infuscatus),Honduras,Aeronautes saxatalis_White-throated Swift,-87.0721,11:00
2250,wilsni1,2013-06-24,81,XC149732.mp3,Wilson's Snipe,>20,"['Agelaius phoeniceus_Red-winged Blackbird', 'Spizella pallida_Clay-colored Sparrow', 'Zonotrichia albicollis_White-throated Sparrow', ""Melospiza lincolnii_Lincoln's Sparrow"", 'Empidonax alnorum_Alder Flycatcher', 'Spizella passerina_Chipping Sparrow', 'Melospiza georgiana_Swamp Sparrow']",56.7264,44100 (Hz),call,260 m,128000 (bps),Red-winged Blackbird (Agelaius phoeniceus); Clay-colored Sparrow (Spizella pallida); White-throated Sparrow (Zonotrichia albicollis); Lincoln's Sparrow (Melospiza lincolnii); Alder Flycatcher (Empidonax alnorum); Chipping Sparrow (Spizella passerina); Swamp Sparrow (Melospiza georgiana),Canada,Gallinago delicata_Wilson's Snipe,-111.3803,04:00
2290,wooduc,2016-08-07,11,XC347194.mp3,Wood Duck,Not specified,[],42.5759,44100 (Hz),alarm call,180 m,192000 (bps),,United States,Aix sponsa_Wood Duck,-82.8087,09:00
2368,yetvir,2014-05-26,13,XC184090.mp3,Yellow-throated Vireo,1-3,[],Not specified,44100 (Hz),song,? m,128000 (bps),,United States,Vireo flavifrons_Yellow-throated Vireo,Not specified,17:30
